Filename,Sanat
sisään,"(Kop, kop, kop)
Sisään!

(Kop, kop, kop)
Seuraava!"
leppätalo,"On meillä hauska talo, se Leppätalo on.
Kun design-tuoli katoaa, on huuto armoton.
Kas näin saapuu lasku, ja lasku saapuu näin,
Kas näin saapuu lasku, ja lasku saapuu näin.

On meillä hauska talo, se Leppätalo on.
Kun Moodi tulee klurrelle on meno hulvaton.
Kas näin heiluu hanska, ja hanska heiluu näin...

On meillä hauska talo, se Leppätalo on.
Jos kylteri pyrkii sisälle, jo ovi rikki on.
Kas näin lentää tuhkis, ja tuhkis lentää näin...

On meillä hauska talo, se Leppätalo on.
Kun Tekis kutsuu TTY:n, on meno onneton.
Kas näin lähtee Urho, kas Urho lähtee näin..."
snapsien_kaveri,"Ystävä sä snapsien,
kaada lasiin pienehen.
Minne käynkin maailmassa,
siellä olen humalassa.
Seuran taso vaihtelee,
känni silloin suojelee."
murheellisten_bittien_maa,"Syyttömänä saapumaan sattui hän
tähän Klurreen omituiseen ja pimeään
jossa jo tuutorit, juovuksissa totta kai
hakkasivat Urho Karhun jos sen kiinni sai

Perinteisen nörtin kohtalon
halus välttää fuksi tuo
en koskaan ota vastuuta
enkä koskaan 'kultaa juo muuten
juon kassan

Aurajoki kutsuu TKO-älyä keväisin
vaan en tahdo tehdä koskaan lailla jäärän
mut kun Meego-koodaajana työtä ei saa
hälle Eficoden koura juottaa väkijuomaa

Niin Annajuhani Lantto taas herää henkiin
ja tuutorin elkeet tarttuvat fuksiin
kohti laukkaa, Idan saunaa

Se Mahnun epätoivoon ajaa
kun viskipullon korkkaa
keskeltä kylmän koodin hiljaa
kylmä virhe tuijottaa
kun poikkeus kohoaa

Keskeltä bugien, pk-tölkkien
aktiivit synkeinä etsivät kenkiään
Koodiorjuus, viina, Mäkkärin porttikielto
B-rapun kamera ja viimeinen erhe

Tämä tuhansien murheellisten bittien maa
jonka Alina-pantit voi menettää
Katajainen Tekis jonka taksilaskun määrää
ei mittaa järki,
eikä Esko määrää
jonka koodista puuttuvat
ne suunnittelumallit
ja poissa pysyvät opintopisteet
koodaajan epätoivosta
ne kertovat."
de_brevitae_vitae,"Post iuacundam iuventutem, 
post molestam senectutem 
Nos habebit humus, nos habebit humus!

:,: Vivat academia, vivant professores! :,:
Vivant membrum quodlibet, 
vivant membra quaelibet, 
Semper sint in flore, semper sint in flore!

:,: Vivant omnes virgines, graciles formosae! :,:
Vivant et mulieres, 
tenerae, amabiles
:,: bonae laboriosae! :,:"
vit_vecka,"Jag drömmer om en vit vecka.
Sju dagar utan alkohol.
Tänk att bara skåla
i juice och cola
och sedan minnas allt man gjort.

Jag drömmer om en vit vecka,
det finns en gräns för vad jag tål.
Jag vill inte drick
mera sprit
så låt nästä vecka vara vit."
viidestoista_vuosi,"Silmissäni orpo katse lapsen eksyneen.
Taas reputin ja sehän vihloo rintaa.
Käy proffat päälle lailla pommikonelaivueen
jos kysyn armolisäpisteen hintaa.

Viidestoista vuosi alkaa peruskursseineen.
On lukeminen kai jo aivan turhaa.
Enää jaksa uskoa en valmistumiseen
kun alan harkita jo itsemurhaa.
Viidestoista vuosi saapuu peruskursseineen
taas huomaan kaiken tiedon unohtuneen.
Jää konseptini valkeaksi, siniruutuinen
kun vaivun jälleen kesken tentin uneen.

Taas nukun tenttisalissa 
ja samaa unta nään:
kuin hullu huudan tutkintoni perään.
Pää konseptiin kun painuu, 
reputan myös tentin tään.
Se pian ohi on,
taas liian myöhään herään."
hell_and_gore,"Hell and gore,
shun gop, Father Allan, lallen lay.
Hell and gore,
shun gop, Father Allan lay.
Oh, handsome in the Hell and tar,
hand, ay Hell are half and four.
Hell and gore -
Shun gop, Father Allan lay!"
lapsuuden_toverille,"Sä kasvoit, neito kaunoinen,
isäsi majassa,
:,: kuin kukka kaunis, suloinen
vihreellä nurmella. :,:

Lapsuutes ajan hellimmän
sä leikit kanssani,
:,: ja olit paras ystävän'
ja ainoo iloni. :,:

Maailma sitten vieroitti
pois meidät toisistaan,
:,: vaan sua, armas iäti,
ma muistan ainiaan. :,:"
luonnontieteilijän_uni,"Joka ilta kun fyysikko sammuu,
ja saapuu viimeinkin yö,
myös matemaatikko horjuu,
ja nyrkillä pöytään lyö;
""Voi tuokaa mulle juomaa,
en tahdo mä luovuttaa!""
Vaan kohta voimat loppuu
ja hän tuolilta tipahtaa.

Taas aamulla harmaa arki,
nyt juhlasta voiton vie,
ja kaksikkomme huokaa;
""Missä hitossa Buranaa lie?""
Vaikka linnut karjuvat puissa,
olut oloa helpottaa,
ja ehkä jo viikon päästä,
voimme juhlia uudestaan."
rakenteisiin_asti,"Viinaa tulvillaan on vujulaisen pää
se aistit sumentaa ja laatat lennättää
Jalat kanna ei, ja puhe sammaltaa,
ja kohta jatkopaikan sohvan päälle oksentaa

HEI

Sohvalle, sohvalle, ei saa oksentaa,
verhoilujen läpi kahviavec uppoaa
Rakenteet, rakenteet, niihin imeytyy
neste vatsahappoinen - se juhlinnan on syy

On sohva hieman vanha, ja tuoksu puistattaa,
siis uudenveroisena voi siitä laskuttaa

Sohvalle, sohvalle, ei saa oksentaa,
rakenteisiin asti vatsahapot uppoaa
Korvausta, korvausta, toki vaaditaan
kusetetaan hieman laskua kun laaditaan!"
vi_ska_dricka_hela_natten,"Vi ska dricka hela natten alkohol,
vi ska dricka hela natten alkohol,
vi ska dricka hela natten,
vi ska inte dricka vatten,
vi ska dricka hela natten alkohol!"
koska_meitä_käsketään,"Koska meitä käsketään,
ahkerasti ryyppäämään,
ettei hampaat ravistuisi,
kyytipoika hermostuisi,
niin me kaiken ikämme,
ahkerasti ryyppäämme."
felix,"Felix, felix, felix! 
Herkkuja ruokapöytään."
niin_minä_neitonen_sinulle_laulan,":,: Niin minä, neitonen, sinulle laulan
kuin omalle kullalleni :,:
:,: Jos olis valtaa, niin kuin on mieli,
niin ottaisin omakseni :,:

:,: Kullalleni minä laulelen
ja kellekäs minä muille :,:
:,: En minä laula kallioille,
enkä metsän puille :,:

:,: Vaan minä olen kuin taivaan lintu,
ei ole mulla majaa. :,:
:,: Ei ole mulla ystävää,
ei ole lohduttajaa. :,:"
rosvo_roope,"Jos täytätte mun lasini
niin tahdon kertoa
tään surullisen tarinan
joll' ei oo vertoa
Se on laulu merirosvosta
Roope nimeltään
joka sydämiä särki
missä joutui kiertämään.

Hän kaunis oli kasvoiltaan ja nuori iältään
ja opetuksen saanut oli
omalta isältään
Mutt' tyttö jota lempi
hän oli petturi
Ja siksi tuli Roopesta
nyt julma ryöväri.

Viel' Itämeren rannikot ne Roopen muistavat
Ja naiset Pietarinkin vielä päätään puistavat
Ja Suomenlahden kaupungit
tuns' Roope ryövärin
Ja suuri oli pelko
vielä Kokkolassakin.

Ei neito Viron rannikon
unhoita milloinkaan
kun Rosvo-Roopen kanssa hän joutui kapakkaan
He söivät mitä saivat
ja joivat tuutingin
ja tyttö poltti sydämens'
mutt' Roope sikarin.

Ei tiennyt impi Oolannin
kuink' oli laitansa
kun Rosvo-Roope pestäväks' vei
hälle paitansa
Yks' nappi oli irti, hän ompeli sen kiinn'
ja samalla hän ompeli myös sydämensä siin'.

Sai Roope viimein palkkansa
hän on nyt Suomessa
Ja jossain jokivarressa lie lossivahtina
Hän lesken eessä nöyrtyi
ja joutui naimisiin
Ja sillä lailla Rosvo-Roope hiljaa hirtettiin."
skumppaa_punkun_kaa,"Krapula on jo ohi kohta,
joten skippaa se kotisohva
Myöhemminkin ehtii lepää
nyt voi kaksin käsin vetää
Ihan näätää jäädä hyytyyn
Tai painaa päätä tyynyyn
Mennää täysii, kone käyntiin
SKUMPPAA PUNKUN KAA!

Ei jäädä simaa kupittaa
Joten hei juodaan mitä huvittaa
:,: Missä nähään, mis on tänää
Skumppaa punkun kaa :,:

Hyvää Mummii etsimässä
Ja se kumotaan heti tässä
Hyvät pohjat on ku ässä hihas
Joten sammun tässä pihas
Mummi sinkoo sinne tänne
Tai viel vaik pidemmälle
Nyt tuopit täyteen
Tyhjäks, täyteen
SKUMPPAA PUNKUN KAA!

Ei jäädä simaa kupittaa..."
no_onkos_tullut_kesä,"No onkos tullut kesä,
nyt talven keskelle.
:,: Ja laitetaankos pesä
nyt pikkulinnuille? :,:

Jo kuusi kynttilöitä
on käynyt kukkimaan.
:,: Ja pimeitä talven öitä
nyt ehkä valaistaan. :,:

Ja vanhakin nyt nuortuu,
kuin lapsi leikkimään.
:,: Ja koukkuselkä suortuu,
nyt kaikk' on mielissään. :,:

Ja hyvä lämmin hellä,
nyt mieli jokaisen.
:,: Nyt jospa ihmisellä,
ois juhla ainainen! :,:"
henkilokunta,":,: Henkilökuntaa, henkilökuntaa, parlevuu. :,:
Henkilökuntaa, henkilökuntaa,
henkilökuntaa, henkilökuntaa.
:,: Henkilökuntaa parlevuu. :,:
 
Lissää viinaa...
Konjakki ois poikaa...
Kaljakin kelpaa...
Fuksit kuolee...
Vanhat jaksaa...
TKO-äly maksaa..."
muinaisten_valssi,"Saimaan saaressa pikkuinen torppa,
uhraa portailla kultisti Miikkulainen,
mutta pintaan ei nouse kuin norppa,
on pettymys melkoinen.
Aallon alla se suunnisti kutsujan luo,
sille tuttua tutumpi on messu tuo.
Laulu kertoo näin mitä on yksin kun jää,
hyvin hylje sen ymmärtää.

Uhrata enää ei Cthulhulle päitä,
maailma modernisoitunut on.
Muinaisjäänteitä viiksekkäitä,
mies sekä hylje kumpikin on.

Saimaan saaressa pikkuinen torppa,
sinne muinaisten kulttinsa tahtonut ei.
Yksin kultisti jäi kuten norppa,
myös sen mestarin kohtalo vei.
Suuri Saimaa mut sata on hylkeitä vaan,
kohta jäljellä ei ehkä ainuttakaan.
Uhriveistänsä teroittaa Miikkulainen,
aatos mieleessään hirmuinen.

Uhrata enää ei Cthulhulle päitä,
maailma modernisoitunut on.
Muinaisjäänteitä viiksekkäitä,
mies sekä hylje kumpikin on.

Saimaan saaressa pikkuinen torppa,
karjuu loitsuja kultisti Miikkulainen.
Uhrikivellä hengetön norppa,
makaa hiljalleen kylmentyen.
Suuri Saimaa ja alta sen lainehien,
nousee kauhu niin vanha ja lonkeroinen.
Niin on kohtalo norpan kuin Miikkulaisen,
olla sukunsa viimeinen.

Viimeinkin uhrataan Cthulhulle päitä,
maailmaan palannut muinainen on.
Lounaaksi syötyjä pölkkypäitä
mies sekä hylje kumpikin on."
kansainvälinen,"Työn orjat sorron yöstä nouskaa,
maan ääriin kuuluu kutsumus
Nyt ryskyin murtuu pakko valta,
tää on viime ponnistus.
Pohja vanhan järjestyksen horjuu.
Orjajoukko taistohon!
Alas lyökää koko vanha maailma
ja valta teidän silloin on

Tää on viimeinen taisto,
rintamaamme yhtykää
niin huomispäivänä kansat
on veljet keskenään.

Ei muuta johtajaa, ei luojaa
kuin kansa kaikkivaltias.
Se yhteisonnen säätää, suojaa,
se on turva tarmokas.
Eestä leivän, hengen, kunniamme
yössä sorron, turmion
kukin painakaamme palkeitamme,
kun käymme työhön, taistohon.

Tää on ...

Lait pettää, hallitukset sortaa,
verot köyhälistön verta juo,
ja köyhän ihmisoikeuskin
ompi tyhjä lause tuo.
Pois jo kansat holhouksen alta.
Veljeyden sääntö on:
kellä velvoitusta, sillä valtaa
ja oikeutta olkohon.

Tää on ...

On kurjat kunniassaan
raharuhtinaat nuo röyhkeät.
Ei koskaan tee ne itse työtä,
vaan ne työtä ryöstävät.
Varat kansan hankkimat on menneet
kaikki konnain kukkaroon.
Pois kansa velkaansa jo vaatii,
nyt ryöstösaalis tuotakoon

Tää on ...

Työmiehet, kyntäjät ja kaikki,
työkansan joukko nälkäinen.
Maa meidän on ja olla täytyy,
vaan ei laiskain lurjusten.
Nälkä meill' on aina vieraanamme
vaan kuin korpit haaskoiltaan
me kerran kaikki karkoitamme,
niin päivä pääsee paistamaan

Tää on ..."
varpunen_jouluaamuna,"Lumi on jo peittänyt kukat laaksosessa.
Järven aalto jäätynyt talvipakkasessa.
Varpunen pienoinen syönyt kesäeinehen.
Järven aalto jäätynyt talvipakkasessa."
jos_eukkosi_kieltää_sua_juomasta,"Jos eukkosi kieltää sua juomasta,
niin juo, niin juo.
Jos kieltää sua viinoja tuomasta, 
niin tuo, niin tuo.
Mutt' juomasta älä sinä milloinkaan lakkaa,
vaan hanki sinä itselles' parempi akka,

Ja juo ja laula, ja juo ja laula,
ja juo ja laula, ja juo ja laula ja...

Trink, trink, Brüderlein, trink,
lass doch die Sorgen zu Haus!
Trink, trink, Brüderlein, trink,
leere dein Glas mit mir aus!

Meide den Kummer und meide den Schmerz,
dann ist das Leben ein Schertz, 
mein lieber Augustin!
Meide den Kummer und meide den Schmerz,
dann ist das Leben ein Schertz, huhhei!

Upseerit sodassa taistelee,
ja juo (ja laulaa), ja juo (ja laulaa),
Ja välillä korkkia haistelee
ja juo (ja laulaa), ja juo (ja laulaa).
Kun taistelun melskeessä pyssyt ne paukkaa,
niin upseerit välillä pullosta naukkaa,

Ja juo ja laulaa ...

Kauf dir ein Auto und fahr gegen Baum,
fann wird das Leben ein Traum,
mein lieber Augustin!
Kauf dir ein Auto und fahr gegen Baum,
fann wird das Leben ein Traum, huhhei!

Maisterit koulussa opettaa, 
ja juo (ja laulaa), ja juo (ja laulaa).
Ja illalla tuntinsa lopettaa, 
ja juo (ja laulaa), ja juo (ja laulaa).
Kun päivällä saksaa ja matikkaa jauhaa,
niin illalla raitilla RÄYHÄÄ JA PAUHAA.

Ja juo ja laulaa ...

Heirat im Sommer, Scheide in März,
dann ist das Leben ein Schertz,
mein lieber Augustin!
Heirat im Sommer, Scheide in März,
dann ist das Leben ein Schertz, huhhei!

Yhä seurassa veikot nuo maistelee, 
ja juo, ja juo,
Ja viime pullosta taistelee, 
ja juo, ja juo.
Kun baarissa viimein on tarjoilu loppu,
on päässäkin sammunut viimeinen proppu.

Ja juo ja laula ...

Meide die Weiber und meide das Bier,
dann wird ein Sportsmann aus dir,
mein lieber Augustin!
Meide die Weiber und meide das Bier,
dann wird ein Sportsmann aus dir, huhhei!

Kas kuusen latvassa oksien alla
on pesä pienoinen oravalla
Joka juo ja laulaa ja juo ja laulaa
ja juo ja laulaa ja juo ja laulaa 
ja juo..."
ölvisa,":,: Tu-tu-tu-Tuborg
och Ca-ca-ca-Carlsberg
är de bästa pi-pi-pi-pilsner,
som jag vet. :,:"
gurulah,"Ikkunaa vasten näin
sovelman kaatuvan jälleen,
poikkeuksen heittänyt
ilmoille on rakkaimpain.
Murhaa on moinen,
sydämein kuolevan tunsin kun ceen
nähdä sain.

Ei, ei, ei, Gurulah!
Ai, ai, voi, Gurulah!
Käänsin sen, taas kerran mä
käänsin sen.
Menetin kaiken, sä aatoksein
juomiseen veit.

Kääntää en sovelmaa voinut,
jäin konsolin ääreen.
Aamu jo valkeni,
kun muiden saapuvan näin.
Nauroin, kun kaaduit.
Tuskani vallassa hillinnyt en itseäin.
Ei, ei, ei, 71 117 114 117 108 97 104!
Ai, ai, voi,
%47%75%72%75%6C%61%68!
Käänsin sen, taas kerran mä
käänsin sen.
Menetin kaiken, sä aatoksein
juomiseen veit."
tänään_otetaan,":,: Tänään otetaan, tänään otetaan
helvetin paljon viinaa. :,:

:,: Huomenna on, huomenna on
helevetin kova krapula. :,:

:,: I dag ska vi ta, i dag ska vi ta
helvete mycket brännvin. :,:

:,: I morgon ska vi ha, i morgon ska vi ha
helvete kova krapula. :,:

:,: Täna võtame, täna võtame
kuradima palju viina. :,:

:,: Homme meil on, homme meil on
kuradima kova pohmakas. :,:"
krimin_kriisi,"Oi hyvät ystävät, meillä jos ois
Ukrainan niemi ja tsaari!
Ilman yhtään tarkkailijaa
on demokraattinen vaali.
Silloinpa, toveri, ei huolta ei lain
valtausta vastustaa prosentti vain.
Oi hyvat ystävät, meillä jos ois
Ukrainan niemi ja tsaari.

Yhtykää kansat riemuitkaa ain,
kielletty on vain anaali.
Veljiinne älkäätte kajotko lain,
homoile ei kunnon slaavi.
Putinin johdolla kuljemme näin
neuvostoauringonnousua päin.
Loistakoon ainiäaa säteily sen,
kirkkaammin kuin sateenkaari."
koff,"Koff on mallasjuoma, niin huurteinen.
Se lasissani vaahtoaa, on väri kullankeltainen.
Koffia en vaihda, sen kans niin mukavaa,
kun muutoin on voi olla kovin tukala.

Koff nyt pullossansa, sua odottaa.
Se siellä salaa kuplii vaan, ja juojaansa vartoaa.
Viljasta kai tehtiin Koff kai aikoinaan.
Jos löydät sen ja nautit sen
Koff jälleen elää saa!"
oman_kullan_silmät,"Oman kullan silmät sinisen on harmaat,
ne on minun mielessäni aina.
:,: Joka sunnuntaki, väliin viikollaki,
aina kun vain silmäni kiinni painan. :,:

Älä tule meille, meillä haukutahan
mene sinne missä kositahan.
:,: Kyllä ne ämmät tuopi, kyllä ne ämmät tuopi
sulle sellaisia, joill' on rahhaa. :,:

Vanha kulta raukka tuli meijän kautta,
luuli että vielä aukeis ovi.
:,: Uusi kulta vieress', vanha oven
pieless', eihän kahta rakastella sovi. :,:"
vesipoikien_marssi,"Pois se meistä, että täällä maisteltais'
noita pahan tuomia alkoholijuomia,
vaikka henki keltä täällä haisteltais'
niin huugo raikas sois'.

Hurraa, me nuoret vesipojat,
pää on selvä meillä aina,
krapulat ei meitä paina,
hurraa, me nuoret vesipojat,
meillä luonto raitis on.

Säyseästi näin kun aina elelee,
itseksensä hissuksiin,
nenä kirjassansa kiinn'.
Tarmokkaasti lasiin aina sylkäisee,
siitä riemu verraton.

Hurraa, me nuoret ...

Paha perii riettauden sellaisen,
jota toiset harjoittaa,
kun he itsens' juovuttaa.
Sukukunnan turman tuopi tuollainen,
kulttuurin turmion.

Hurraa me nuoret..."
paavi_ja_sulttaani,"On paavin elo ihanaa,
hän kaikki anerahat saa.
:,: On viini kallein juomansa,
oi, jospa paavi oisin ma. :,:

Mut ei, ei koskaan maistaa saa,
hän nuoren naisen suudelmaa.
:,: Käy illoin yksin nukkumaan,
en paavi olla tahtoiskaan. :,:

Mut sulttaani hän hummailee,
ja haaremissaan elelee.
:,: Keskellä naisten viehkeäin,
sulttaani oisin mielelläin. :,:

Mut ei, hän ompi polo mies,
hänt' paina koraaninsa ies.
:,: Ei maista viinin tippaakaan,
en sulttaaniksi tahtoiskaan. :,:

En yksin olla tahtoisi,
mä paavi enkä sulttaani.
:,: Mut vuoroin virkaan kumpaakin,
mä mielelläni astuisin. :,:

Suo suukko mulle neitonen,
oon sulttaani mä hetkisen.
:,: Hei veikot maljat täyttäkää,
kun paaviks muuttuu poika tää! :,:"
